es_id,es_district,es_circuit,es_parish,es_congregation
208,Kainantu,Raipinka,Imune,Kumanofi
209,Kainantu,Ona,God news Highway,Punano
211,Kainantu,Raipinka,Imune,Kumanofi
214,Kainantu,Finintugu,Kafetina,St Murewong
215,Kote,DEDUA,RABRAGE,WAPNAMBUG
218,Kainantu,Raipinka,Bus Divison,Onenofi
219,Immanuel,Mendi,Anga,Yame
221,Kainantu,Finintugu,Naira,Skai
222,Yabim,Wampar,Sampi,Gabsongkec
223,Kainantu,Finintugu,Naila,Vitiks
224,Yabim,Malalo,Mubo,WApali
225,Kainantu,Raipinka,Bus Division,Onenofi
226,Kainantu,Ona,Ese,Nonampa
227,Kote,HUBE,KULUNTUFU,BANGTUMU
230,Immanuel,Mendi,Karel,Ripinj
231,Immanuel,Mendi,Karel,Ripinj
232,Kainantu,Raipinka,Bush Division,Mako
233,Kainantu,Raipinka,Bush Division,Mako
234,Kainantu,Raipinka,Bus Division,Kenkae
235,Immanuel,Mendi,Karel,Semera
236,Kainantu,Raipinka,Bus Division,Onenofi
237,Kote,DEDUA,YASINE,SIWEA
238,Kainantu,Raipinka,Bush Division,Mako
239,Kainantu,Raipinka,Zomuna,Afutagahu
240,Kote,HUBE,SIRI,MINDIK
241,Kainantu,Raipinka,Bus Division,Onenofi
242,Kainantu,Raipinka,Bush Division,Onenofi
243,Kote,HUBE,SIRI,MAMUS
244,Kainantu,Raipinka,Zomuna,Tanara
245,x,x,x,x
246,Kainantu,Rihona,Jagafonave,Homya
247,Kote,SOMBA,KEMAIP,OGERANANG
248,Kainantu,Lihona,Yagafonave,Hegimpare
250,Kainantu,Raipinka,Jomuna,Raipinka
252,Kainantu,Lihona,Luzape,Akeyampo
254,Hagen,Hagen City,Bethel,Bethel Pidigin
255,Kote,KUWE,KULUNGTUFU,TIRENG
256,Hagen,Kotna,Wali,Emmanuel
257,Hagen,Kotna,Wali,Emmanuel
259,Hagen,Ogelbeng,Kelan,Tipuka Memorial
260,Hagen,Ogelbeng,Kelan,Tipuka Memorial Sios
261,Yabim,Deka,Deinzerhill,Taemigidu
